Phrase,Label
Generate a flat surface,0
Show me a hill,1
Hilly terrain,1
Generate a mesa,3
Create a small hill,1
Show me a tableland,3
Create a vast plain,0
Hilly landscape,1
Basin terrain,4
Give me a basin landscape,4
Create a summit,2
Give me a basin,4
Show me a high plateau,3
Generate a flat tableland,3
Generate a flat highland,3
Basin field,4
Towering mountain,2
Basin landscape,4
I need a flat area,4
Show me a plateau area,3
I need a plateau terrain,3
Generate a high summit,2
Flat terrain,0
I want a level area,0
Design a basin landscape,4
Mountain peak,2
Basin area,4
Create a rolling hill,1
Generate a pasture,0
Give me a mountainous landscape,2
I need a high terrain,3
Give me a flat plain,0
Mountainous terrain,2
Flat basin,4
Design a depression,4
Hilly region,1
Flat field,0
Create a mesa,3
Create a high mountain,2
Show me a mountain,2
Create a knoll,1
Generate a level plain,0
Generate a knoll,1
Generate a tableland,3
Design a mesa field,3
Show me a lowland,4
Generate a knoll area,1
Show me a level terrain,0
I need a hilly terrain,1
Generate a meadow field,0
Create a hilly region,1
Give me a hilly landscape,1
Create a hillock,1
Mountainous area,2
Create a hilly field,1
Basin region,4
Show me a plain area,0
Create a lowland,4
High mountain,2
Generate a flat prairie,0
Generate a hilly area,1
I want a rolling hill,1
Generate a prairie,0
I want a summit,2
Mountain,2
Generate a mountainous area,2
Mountainous landscape,2
Create a flatland,0
I want a lowland,4
Mountainous area,2
I want to generate a hill,1
Give me a plateau,3
Design a plain landscape,0
Flat surface,0
Generate a small hill,1
Generate a peak,2
Create a towering mountain,2
Create a basin region,4
I want a plain area,0
Generate a rolling terrain,1
Give me a plateau landscape,3
Give me a flat terrain,0
Generate a flat lowland,4
Plateau area,3
Create a plain surface,0
Generate a flatland,0
I want to generate a basin,4
Basin landscape,4
Plateau field,3
Show me a rolling hill,1
Generate a small mound,1
Plateau landscape,3
I need a hilly area,1
Give me a plateau terrain,3
Hilly area,1
I need a plateau region,3
Flatland,0
Generate a flat depression,4
Generate a plain terrain,0
I want a peak,2
Design a high mountain,2
Generate a tableland area,3
Create a lofty mountain,2
Design a depression field,4
Rolling hill,1
Show me a summit,2
Generate a range,2
I want a highland,3
I want a level field,0
Show me a low basin,4
Generate a flat basin,4
I want to generate a plain,0
Generate a basin area,4
Give me a mountainous terrain,2
Plateau terrain,3
I want a flat field,0
Generate a flat plateau,3
Generate a high terrain,3
Create a savanna,0
High plateau,3
Flat grassland,0
Hilly field,1
Create a flat field,4
Plain,0
Rolling hills,1
Create a field,0
Create a low area,4
I want a low basin,4
I want a hillock,1
Flat plateau,3
Create a low basin,4
I need a level plain,0
Show me a mountainous area,2
Create a rolling terrain,1
I need a flat terrain,0
Generate a lowland,4
I need a mountainous area,2
Create a peak,2
Create a rolling field,1
I want to generate a plateau,3
Hilly terrain,1
I need a mountainous terrain,2
Mountainous landscape,2
Design a level terrain,0
I need a towering terrain,2
I want a lofty mountain,2
Design a mesa,3
Design a mountainous landscape,2
Generate a depression,4
Show me a plateau,3
Mountainous region,2
Create a tableland,3
Hilly area,1
Create a level terrain,0
Show me a hilly area,1
Low basin,4
Create a high plateau,3
Give me a hilly terrain,1
Generate a hillock,1
Create a low basin,4
Plateau terrain,3
Generate a lowland area,4
Create a high plateau,3
I want to generate a mountain,2
I want a knoll,1
I need a basin region,4
Show me a flat plain,0
Basin area,4
Mountainous field,2
I need a basin terrain,4
Create a towering field,2
I want a mesa,3
Generate a plateau area,3
High plateau,3
